project_id,questions_count
193093770,1349
10408155,95
21953383,19
158287235,23139
27006068,26495
48767872,3
7949589,1
44907993,32100
63931184,2
4357484,1
169273254,1
16123695,1
6119308,1
94009528,69
7530415,20950
15540190,4
21599227,3
7348543,2
65896161,2
173313293,2161
136219391,292
112774778,106757
22218377,1
190453560,2
134320311,18
183988708,11
18507912,2
294577344,1
125179237,4
67380252,110
69469385,7161
171641206,8
22722959,2
7633927,1
92889709,21
20757885,8
200839138,2
72358,1
39494655,234
12160142,2
1467246,1
71605389,6578
320379771,10
17380857,1
11568021,2
15011427,70
112449244,75
8785022,3
12024604,5
2211875,1
70198154,2
104233520,12
5762605,1
37884088,1
31176116,1
53412774,160
46666610,10
16805071,268
71087190,10
40148362,1
36774478,701
39784542,2
6324660,1
58098253,150694
85648242,10
17409578,30
59996616,132
6726558,4
972325,1
9479136,33
41079828,6
34518974,4356
235672,1
36919052,327031
8993539,1
193532137,6
2470944,446
5848865,103822
81138004,4
61312612,6
51627815,27
56551770,1617
62944181,7161
99490133,6
18555625,1
42259797,2
16703983,4
29346262,87118
67053420,1
75309525,1
3353196,30
144995646,1
14008276,19
25678571,4
209540,1
163911045,19
222720339,1124
145974957,1
78788842,3
189133794,139
212431,3
25495660,1
64481999,2
20110956,7
29085877,19
30890970,132
1186465,56
72255902,37291
17707032,12
62752649,49610
180371656,2
31069058,2
694131,1
31554492,27
92522688,155
35473057,33789
8322256,1
221071442,2013
81393,1
287447,2
74641681,1
18843025,2
11918885,1
46706164,1
1132569,113
4419980,112
90364793,1
31955970,1
102370743,1
115445922,3
58211701,3
216815773,1
144819408,110
42784899,5054
11996136,93
15241633,1
143948317,1
91874425,8735
49838425,9106
205325240,9
38560952,2
37824257,652
408212,1307
14918064,15
67000192,7161
16132945,1
121306159,2
108719795,1
7892660,37
103448709,2
32920954,6
42155213,73
46445169,9
66977075,1
168115263,1
67301306,5
89959055,8653
17898911,6
20415114,30853
8258619,244
31763299,82602
1685865,3
44934060,13177
5327116,4
16361542,5
54022277,34
48976729,3
1366825,1
48565464,136953
89825157,8098
194590543,21544
306272784,3
15273691,2
83679915,27
1017693,10
48856663,5
13383431,13615
21636061,16
10280139,1
622291,16
47921185,236
185735827,4
27794547,829
32868077,1
153226159,210
181665471,18
644610,427
1295305,11
97373302,6409
31150661,1
28436,4499
61788433,1
21362904,168
82605,4
43447626,1
1235988,1
226766506,964
38035790,3
107068628,1
3723703,5
8373371,1
4353333,45
1753364,9
70854636,1
753747,3
128555803,55396
4684780,11318
1063019,4
65312129,4624
153842646,1
121174708,1
53439419,1
93527718,6
174336370,1
16114138,43
1459547,2546
130894888,24
7387051,22
48337385,2
15696040,4
9525464,19469
6810719,291
17099330,19469
39988099,62
11898377,1
5301179,17
7395578,17
87306299,43
544576,2
44500964,2
24005390,23
10141607,29
23330903,1
148248368,7161
1396646,1
44886691,2
252351960,37
76045685,8
104328113,329
564659,287
1527685,1
26508069,2
8707864,1
38114354,1
72695833,2
13376250,1
123917763,12
33038287,86
104746961,2
179522522,1
88621289,663
83728399,7
38807587,10
16000663,1
50147624,1
1166035,106
958488,1
8045816,96
19941283,4718
22706887,9
48866649,13
85500756,10
56762854,4
90886286,2
382466,6
132026332,1491
84361705,7
146534424,146
1334594,299
3680552,4829
3489204,4
36471108,2
65129177,2194
177256,104
5590060,2
93155320,1
53990057,1
71915661,1
20141097,2
23432970,4
61045,4
104812741,129
225930023,59
48128415,5
147239029,1
237144715,614
171051201,104
65135155,3
6855472,49
98586974,12
8114644,5
71316351,1
149977104,20
43679748,323
145127925,2
85980477,4
179699830,1646
21223123,1
30740615,12
6853370,162
2104344,259
46281870,1
20672029,4848
102535117,5122
16949165,3
57973631,4102
149694626,2
262030326,24
102281787,1699
188113049,2
140492255,3
